,0,1,2
1,40.764722596022004,-73.82632852478574,1660
2,40.66824722883213,-73.76769604899633,1391
3,40.67961114814818,-73.84807976936726,1390
4,40.743848822797936,-73.86382923012596,1334
5,40.702692102329344,-73.80214176417668,1230
6,40.66587936692393,-73.73849225909593,1185
7,40.683167606222575,-73.82323332261176,1124
8,40.746087259888576,-73.89386797483748,1082
9,40.759902528399635,-73.87918998381136,1078
10,40.677941255845774,-73.79597304900491,925
11,40.693983748340735,-73.74718827002215,905
12,40.716308560997724,-73.85855558231292,888
13,40.7471179928483,-73.9402919493219,815
14,40.76718771503107,-73.91826001031059,810
15,40.70472437041347,-73.77856937906978,796
16,40.765341090852104,-73.78597436729322,774
17,40.71652330072045,-73.82400533818445,689
18,40.74497849348484,-73.91952144030299,660
19,40.70233818549616,-73.89712933847326,653
20,40.722422141333325,-73.75648284651851,647
21,40.73480394238952,-73.80033336104752,620
22,40.747547278875665,-73.72004261839861,593
23,40.717624057386395,-73.7348992854167,552
24,40.71784973154982,-73.90653363228782,543
