,0,1,2
1,40.7208571014493,-73.99824879999997,350
2,40.802228631097584,-73.94006619207317,325
3,40.81778068867926,-73.94609002515732,315
4,40.73397004626336,-73.98551238078291,281
5,40.75986656071429,-73.96878102499997,276
6,40.719050700389076,-73.98586499610894,261
7,40.74945492139741,-73.97428875545847,236
8,40.71112914537449,-74.00966211013211,226
9,40.84206499561401,-73.93871312719293,224
10,40.75659062672815,-73.99569609216591,218
11,40.757279539534906,-73.98429966976745,213
12,40.745156233644856,-73.99228927102801,213
13,40.76844267647056,-73.95919087745105,206
14,40.78329760287076,-73.95064490430617,204
15,40.74504153367877,-73.98210069948186,193
16,40.76853370621466,-73.98603832203386,178
17,40.78291843165468,-73.97705192086329,142
18,40.73655295238097,-74.00329013605437,141
19,40.799819192592615,-73.96195719999999,141
